tweet;gender
@susanadiaz El Psoe protege al pequeño comercio haciendo cosas como por ejemplo apoyando tratados de libre comercio;-1
@susanadiaz Susi, no te da vergüenza soltar eso y quedarte tan pancha? No verdad? No tienes;-1
@susanadiaz  https://t.co/fCkNDsbcpa;-1
@susanadiaz Con lo que han robado tus amiguetes Chaves y Griñán en Andalucía con los ERES, daría para crear miles de puestos de trabajo con ese dinero.;-1
@susanadiaz Andalucía necesita una buena administración y dejar que las empresa funcione con su iniciativa,  y no a golpe de subvenciones.  Si lo haces así,  puedes bajar a las empresa un ahorro de un 50 % en impuestos, y así podemos funcionar;-1
@susanadiaz Adelante presidenta, todo mi apoyo. Confiamos en tú trabajo;-1
@susanadiaz: Según las previsiones, en 2018 volveremos a batir nuestras propias marcas superando los 30 millones de turistas y con un crecimiento del 4,5%. #FITUR2018 #AndalucíaenFitur 👉 https://t.co/wbOWSBoHX9 https://t.co/fV0cPClkiu;-1
@susanadiaz ¿Que tiene que decir al respecto? https://t.co/YIxE2obYxS;-1
"@susanadiaz: ""Espero que el Parlamento de Cataluña, que echa a andar hoy, haya aprendido y no vuelva a actuar fuera de la ley""#FITUR2018 #AndalucíaenFitur https://t.co/6c0mPyN5Ss";-1
@susanadiaz ¿Igualdad? ¿Esa no es la tierra de los señoritos y los jornaleros?;-1
"@susanadiaz en #FITUR2018: “creo que debemos mejorar en la oferta para romper la estacionalidad, pero no estoy de acuerdo con la tasa turística puesto que vamos a lastrar a los que empiezan con su actividad turística; si no beneficia a todos, no la vamos a poner”.";-1
"@susanadiaz sobre la financiación autonómica en #FITUR2018: “lo que quiero es que cada uno cumpla su palabra y que Rajoy cumpla la suya; ha pasado el año en blanco y espero que Montero ponga el documento sobre la mesa pronto y empecemos a debatir”";-1
@susanadiaz sobre la propuesta de pensiones del Gobierno. “Lanzar globos sonda no me parece responsable. Después de vaciar hucha de pensiones lo que tiene que hacer la ministra Bañez es convocar el Pacto de Toledo”. https://t.co/SKAUzkmI06;-1
@susanadiaz @ Crematorio de Sevilla y el de los nazis...En Auswitch se moría mejor... https://t.co/WFXBlwW8ln;-1
@susanadiaz Reivindicar la dignidad de los muertos del ayer es correcto,pero y los de hoy?Cuándo tendremos un crematorio del siglo XXI?;-1
@susanadiaz https://t.co/1bqgV47wT5;-1
